name,mafe,best_L,best_mu
CamB,1.582637913843352,50.0,10.0
D512-2,0.11486647241779535,10.0,500.0
D564-8,0.269627026812121,200.0,10.0
D631-7,0.7127935810120591,200.0,10.0
DDO064,0.1449176740182716,200.0,10.0
DDO154,1.153584128830309,200.0,10.0
DDO161,0.47770227656120906,200.0,10.0
DDO168,0.0976606677503265,50.0,10.0
DDO170,0.1987084155249582,200.0,10.0
ESO079-G014,0.2440138034632494,50.0,300.0
ESO116-G012,0.2802706153206062,50.0,300.0
ESO444-G084,1.1914877621929916,200.0,10.0
ESO563-G021,0.3247604429330792,80.0,500.0
F561-1,0.15074251582453205,10.0,10.0
F563-1,0.20682178189263822,200.0,10.0
F563-V1,0.08383497655096826,80.0,200.0
F563-V2,0.1886542767180105,10.0,500.0
F565-V2,0.1943936495147832,200.0,10.0
F567-2,0.1236734303474749,200.0,10.0
F568-1,0.06472301944164843,80.0,500.0
F568-3,0.16855771618744253,200.0,10.0
F568-V1,0.24801771731214894,200.0,10.0
F571-8,0.3378828780836943,200.0,10.0
F571-V1,0.24035143160220823,30.0,500.0
F574-1,0.0485795438285031,30.0,200.0
F574-2,0.4130366460871391,10.0,10.0
F579-V1,0.14230729896303917,200.0,10.0
F583-1,0.4883106880090148,200.0,10.0
F583-4,0.15423788099598135,10.0,500.0
IC2574,0.2238179274155035,200.0,10.0
IC4202,0.1749704512654725,120.0,10.0
KK98-251,0.2169480889769635,200.0,10.0
NGC0024,1.5689781191626262,200.0,10.0
NGC0055,0.08065483553641313,10.0,300.0
NGC0100,0.13239820000380229,200.0,10.0
NGC0247,0.20991598190931116,200.0,10.0
NGC0289,0.30496178680374103,10.0,200.0
NGC0300,0.2585018408504099,50.0,200.0
NGC0801,0.13925027071373133,80.0,10.0
NGC0891,0.12005407808299906,200.0,10.0
NGC1003,0.2771892635760669,200.0,10.0
NGC1090,0.19226862901365344,200.0,10.0
NGC1705,2.4552781858854558,200.0,10.0
NGC2366,0.4201181826280629,10.0,10.0
NGC2403,1.673293955267162,200.0,10.0
NGC2683,0.13039859402911155,30.0,500.0
NGC2841,1.3710072971608,10.0,10.0
NGC2903,0.22702572883113886,200.0,10.0
NGC2915,3.08784406551125,200.0,10.0
NGC2955,0.17486687747934065,200.0,10.0
NGC2976,0.33023159753600395,200.0,10.0
NGC2998,0.14079538423131607,200.0,10.0
NGC3109,0.20938263858621747,10.0,500.0
NGC3198,1.3797034618996704,200.0,10.0
NGC3521,0.42938900547923603,200.0,10.0
NGC3726,0.5095256157004284,200.0,10.0
NGC3741,11.103593062139542,200.0,10.0
NGC3769,0.7589274772066368,200.0,10.0
NGC3877,0.11811660006664419,120.0,200.0
NGC3893,0.1881034189814494,200.0,10.0
NGC3917,0.2537987600893271,200.0,300.0
NGC3949,0.01797788163923487,10.0,500.0
NGC3953,0.08839984361231207,200.0,10.0
NGC3972,0.2244306213037509,50.0,200.0
NGC3992,0.25782511617345005,200.0,10.0
NGC4010,0.13642474416049757,30.0,200.0
NGC4013,0.26367353118764236,50.0,200.0
NGC4051,0.039435653909785276,10.0,500.0
NGC4068,0.780763392628745,50.0,10.0
NGC4085,0.06987084903605852,200.0,10.0
NGC4088,0.17131102791048924,200.0,10.0
NGC4100,0.12728984995603834,200.0,10.0
NGC4138,1.2894858071893478,200.0,10.0
NGC4157,0.19564957659334958,80.0,200.0
NGC4183,0.18718360562613182,200.0,10.0
NGC4214,0.4691210019022944,200.0,10.0
NGC4217,0.15075605485652888,10.0,200.0
NGC4389,0.1404982157748129,200.0,10.0
NGC4559,0.17087056083286106,200.0,10.0
NGC5005,0.1348532286007484,120.0,10.0
NGC5033,0.30412231524547123,200.0,10.0
NGC5055,0.3874230471350579,200.0,10.0
NGC5371,0.1599289422122157,200.0,200.0
NGC5585,0.4086936283378191,200.0,10.0
NGC5907,0.274881074739382,50.0,50.0
NGC5985,0.17969654394215656,200.0,10.0
NGC6015,0.2786089442843312,200.0,10.0
NGC6195,0.08249340928672333,200.0,50.0
NGC6503,0.22564833976506155,200.0,10.0
NGC6674,0.3100468969326129,50.0,200.0
NGC6789,0.14154759234405992,200.0,10.0
NGC6946,0.13911486551001664,200.0,10.0
NGC7331,0.30837882448142395,120.0,10.0
NGC7793,0.3800702743372052,200.0,10.0
NGC7814,0.24223804133985566,200.0,10.0
PGC51017,1.486131706210505,30.0,10.0
UGC00128,0.3466001157367692,200.0,10.0
UGC00191,0.48850251449090326,200.0,10.0
UGC00634,0.22848466582178362,200.0,10.0
UGC00731,0.09991341277347046,200.0,10.0
UGC00891,0.2213578116393108,10.0,200.0
UGC01230,0.3145404002054642,200.0,10.0
UGC01281,0.22231561687143764,80.0,10.0
UGC02023,0.18864255880575997,30.0,500.0
UGC02259,0.22610985908744607,200.0,10.0
UGC02455,1.7244718703348858,10.0,10.0
UGC02487,0.21538885733283267,200.0,300.0
UGC02885,0.23635451245230082,10.0,500.0
UGC02916,0.11304620354797096,200.0,10.0
UGC02953,2.070730262617949,120.0,10.0
UGC03205,1.0928166590034887,200.0,10.0
UGC03546,0.41441648801389375,200.0,10.0
UGC03580,1.3984818001387809,200.0,10.0
UGC04278,0.2785394435728637,200.0,10.0
UGC04305,0.6356275657166615,10.0,10.0
UGC04325,0.10569554746523302,30.0,500.0
UGC04483,1.3925525497502602,50.0,10.0
UGC04499,0.1200678182025687,10.0,200.0
UGC05005,0.9509357212946227,200.0,10.0
UGC05253,0.16580506748789797,120.0,10.0
UGC05414,0.0954578981427057,10.0,500.0
UGC05716,0.2458248587001094,200.0,10.0
UGC05721,3.478806388646797,200.0,10.0
UGC05750,0.7317907478594484,200.0,10.0
UGC05764,0.11685624637000659,10.0,500.0
UGC05829,0.17251317132416086,10.0,200.0
UGC05918,0.07832129814525012,200.0,10.0
UGC05986,0.09123133443898045,80.0,300.0
UGC05999,0.21084271221703316,200.0,10.0
UGC06399,0.204918598992217,200.0,10.0
UGC06446,0.15860571539907636,30.0,200.0
UGC06614,1.6445638668699771,200.0,10.0
UGC06628,0.17809432537517228,200.0,10.0
UGC06667,0.07848978273806424,10.0,300.0
UGC06786,1.307786889659944,200.0,10.0
UGC06787,0.6672277201002081,200.0,10.0
UGC06818,0.278785025077826,200.0,10.0
UGC06917,0.10700114135924373,200.0,10.0
UGC06923,0.09179209390885962,50.0,500.0
UGC06930,0.1148365107141412,200.0,10.0
UGC06973,0.5520734745191659,10.0,10.0
UGC06983,0.1238852053245925,200.0,10.0
UGC07089,0.14302186524592023,200.0,10.0
UGC07125,0.17993373299427917,10.0,10.0
UGC07151,0.06657838838113846,200.0,10.0
UGC07232,0.731806622742158,50.0,10.0
UGC07261,0.08898858493783238,200.0,10.0
UGC07323,0.19465188376451015,200.0,10.0
UGC07399,0.10496042196480901,10.0,200.0
UGC07524,0.1056016636066481,10.0,200.0
UGC07559,0.5716147623072003,10.0,10.0
UGC07577,0.12465325161637429,200.0,10.0
UGC07603,0.2118122434733529,200.0,10.0
UGC07608,0.18974094164282634,200.0,10.0
UGC07690,0.4365182454776616,50.0,10.0
UGC07866,0.3537646921217202,30.0,10.0
UGC08286,0.2148255320914489,200.0,10.0
UGC08490,1.4950980880248723,200.0,10.0
UGC08550,0.8982580769214714,200.0,10.0
UGC08699,0.6210304539857974,200.0,10.0
UGC08837,0.2106522991910219,10.0,500.0
UGC09037,0.12413095787138469,200.0,10.0
UGC09133,0.4693503831234388,10.0,50.0
UGC09992,0.17422026553521336,200.0,10.0
UGC10310,0.07274833996242556,30.0,500.0
UGC11455,0.5714581500836684,120.0,10.0
UGC11557,0.1580931518034715,200.0,10.0
UGC11820,0.3934988179687313,200.0,10.0
UGC11914,0.10336698675561516,200.0,10.0
UGC12506,0.1626491840213432,50.0,50.0
UGC12632,0.07678038135608883,200.0,10.0
UGC12732,0.23316019605150456,200.0,10.0
UGCA281,0.06027708248146721,120.0,10.0
UGCA442,0.1922800290352666,10.0,500.0
UGCA444,0.12144378697259406,200.0,10.0
